stem;ind3sg;ind3pl;prescont3sg;prescont3pl
inundate;inundates;inundate;is inundating;are inundating
deraign;deraigns;deraign;is deraigning;are deraigning
tote;totes;tote;is toting;are toting
pride;prides;pride;is priding;are priding
coldweld;coldwelds;coldweld;is coldwelding;are coldwelding
camber;cambers;camber;is cambering;are cambering
goffer;goffers;goffer;is goffering;are goffering
tee;tees;tee;is teeing;are teeing
poke;pokes;poke;is poking;are poking
objurgate;objurgates;objurgate;is objurgating;are objurgating
migrate;migrates;migrate;is migrating;are migrating
acquire;acquires;acquire;is acquiring;are acquiring
endeavour;endeavours;endeavour;is endeavouring;are endeavouring
brew;brews;brew;is brewing;are brewing
heighten;heightens;heighten;is heightening;are heightening
frizz;frizzes;frizz;is frizzing;are frizzing
defer;defers;defer;is deferring;are deferring
demodulate;demodulates;demodulate;is demodulating;are demodulating
pettifog;pettifogs;pettifog;is pettifogging;are pettifogging
joypop;joypops;joypop;is joypopping;are joypopping
skirmish;skirmishes;skirmish;is skirmishing;are skirmishing
kid;kids;kid;is kidding;are kidding
soldier;soldiers;soldier;is soldiering;are soldiering
drabble;drabbles;drabble;is drabbling;are drabbling
disembroil;disembroils;disembroil;is disembroiling;are disembroiling
level;levels;level;is levelling;are levelling
unlay;unlays;unlay;is unlaying;are unlaying
vignette;vignettes;vignette;is vignetting;are vignetting
flop;flops;flop;is flopping;are flopping
cajole;cajoles;cajole;is cajoling;are cajoling
seek;seeks;seek;is seeking;are seeking
curvet;curvets;curvet;is curvetting;are curvetting
pickle;pickles;pickle;is pickling;are pickling
blackguard;blackguards;blackguard;is blackguarding;are blackguarding
mimeograph;mimeographs;mimeograph;is mimeographing;are mimeographing
ravage;ravages;ravage;is ravaging;are ravaging
slight;slights;slight;is slighting;are slighting
beget;begets;beget;is begetting;are begetting
prompt;prompts;prompt;is prompting;are prompting
contribute;contributes;contribute;is contributing;are contributing
steward;stewards;steward;is stewarding;are stewarding
ethicize;ethicizes;ethicize;is ethicizing;are ethicizing
unsteady;unsteadies;unsteady;is unsteadying;are unsteadying
tent;tents;tent;is tenting;are tenting
withstand;withstands;withstand;is withstanding;are withstanding
web;webs;web;is webbing;are webbing
execute;executes;execute;is executing;are executing
spline;splines;spline;is splining;are splining
keypunch;keypunches;keypunch;is keypunching;are keypunching
catenate;catenates;catenate;is catenating;are catenating
smatter;smatters;smatter;is smattering;are smattering
canal;canals;canal;is canalling;are canalling
ting;tings;ting;is tinging;are tinging
conventionalize;conventionalizes;conventionalize;is conventionalizing;are conventionalizing
fiddle;fiddles;fiddle;is fiddling;are fiddling
enwreath;enwreaths;enwreath;is enwreathing;are enwreathing
asphalt;asphalts;asphalt;is asphalting;are asphalting
exfoliate;exfoliates;exfoliate;is exfoliating;are exfoliating
conduct;conducts;conduct;is conducting;are conducting
vaccinate;vaccinates;vaccinate;is vaccinating;are vaccinating
bulge;bulges;bulge;is bulging;are bulging
talc;talcs;talc;is talcking;are talcking
weave;weaves;weave;is weaving;are weaving
adjure;adjures;adjure;is adjuring;are adjuring
zoom;zooms;zoom;is zooming;are zooming
pockmark;pockmarks;pockmark;is pockmarking;are pockmarking
hydrate;hydrates;hydrate;is hydrating;are hydrating
deride;derides;deride;is deriding;are deriding
blockade;blockades;blockade;is blockading;are blockading
trundle;trundles;trundle;is trundling;are trundling
reshuffle;reshuffles;reshuffle;is reshuffling;are reshuffling
deem;deems;deem;is deeming;are deeming
convulse;convulses;convulse;is convulsing;are convulsing
scab;scabs;scab;is scabbing;are scabbing
tubulate;tubulates;tubulate;is tubulating;are tubulating
breathalyze;breathalyzes;breathalyze;is breathalyzing;are breathalyzing
budge;budges;budge;is budging;are budging
disrate;disrates;disrate;is disrating;are disrating
sticky;stickies;sticky;is stickying;are stickying
disesteem;disesteems;disesteem;is disesteeming;are disesteeming
fluoridize;fluoridizes;fluoridize;is fluoridizing;are fluoridizing
horrify;horrifies;horrify;is horrifying;are horrifying
rein;reins;rein;is reining;are reining
air;airs;air;is airing;are airing
folio;folios;folio;is folioing;are folioing
gain;gains;gain;is gaining;are gaining
tint;tints;tint;is tinting;are tinting
strow;strows;strow;is strowing;are strowing
affiliate;affiliates;affiliate;is affiliating;are affiliating
chance;chances;chance;is chancing;are chancing
macerate;macerates;macerate;is macerating;are macerating
expiate;expiates;expiate;is expiating;are expiating
quake;quakes;quake;is quaking;are quaking
urbanize;urbanizes;urbanize;is urbanizing;are urbanizing
plant;plants;plant;is planting;are planting
chivy;chivvies;chivy;is chivying;are chivying
bulwark;bulwarks;bulwark;is bulwarking;are bulwarking
redound;redounds;redound;is redounding;are redounding
propitiate;propitiates;propitiate;is propitiating;are propitiating
vend;vends;vend;is vending;are vending
wheeze;wheezes;wheeze;is wheezing;are wheezing
cypher;cyphers;cypher;is cyphering;are cyphering
corrode;corrodes;corrode;is corroding;are corroding
experimentalize;experimentalizes;experimentalize;is experimentalizing;are experimentalizing
congest;congests;congest;is congesting;are congesting
bush;bushes;bush;is bushing;are bushing
methylate;methylates;methylate;is methylating;are methylating
skive;skives;skive;is skiving;are skiving
beagle;beagles;beagle;is beagling;are beagling
decertify;decertifies;decertify;is decertifying;are decertifying
wonder;wonders;wonder;is wondering;are wondering
oppose;opposes;oppose;is opposing;are opposing
antevert;anteverts;antevert;is anteverting;are anteverting
console;consoles;console;is consoling;are consoling
bump;bumps;bump;is bumping;are bumping
cleave;cleaves;cleave;is cleaving;are cleaving
sweaway;sweaways;sweaway;is sweawaying;are sweawaying
rehabilitate;rehabilitates;rehabilitate;is rehabilitating;are rehabilitating
hydrogenize;hydrogenizes;hydrogenize;is hydrogenizing;are hydrogenizing
wee-wee;wee-wees;wee-wee;is wee-weeing;are wee-weeing
breach;breaches;breach;is breaching;are breaching
chide;chides;chide;is chiding;are chiding
outreach;outreaches;outreach;is outreaching;are outreaching
urinate;urinates;urinate;is urinating;are urinating
unhinge;unhinges;unhinge;is unhinging;are unhinging
fence;fences;fence;is fencing;are fencing
lollop;lollops;lollop;is lolloping;are lolloping
revolt;revolts;revolt;is revolting;are revolting
enrapture;enraptures;enrapture;is enrapturing;are enrapturing
forbear;forbears;forbear;is forbearing;are forbearing
squeeze;squeezes;squeeze;is squeezing;are squeezing
distemper;distempers;distemper;is distempering;are distempering
cogitate;cogitates;cogitate;is cogitating;are cogitating
smote;smotes;smote;is smoting;are smoting
scrag;scrags;scrag;is scragging;are scragging
leave;leaves;leave;is leaving;are leaving
sieve;sieves;sieve;is sieving;are sieving
flicker;flickers;flicker;is flickering;are flickering
boss;bosses;boss;is bossing;are bossing
humanize;humanizes;humanize;is humanizing;are humanizing
trap;traps;trap;is trapping;are trapping
malinger;malingers;malinger;is malingering;are malingering
flyspeck;flyspecks;flyspeck;is flyspecking;are flyspecking
extirpate;extirpates;extirpate;is extirpating;are extirpating
treat;treats;treat;is treating;are treating
misdate;misdates;misdate;is misdating;are misdating
inject;injects;inject;is injecting;are injecting
reprieve;reprieves;reprieve;is reprieving;are reprieving
develop;develops;develop;is developing;are developing
hilt;hilts;hilt;is hilting;are hilting
batch;batches;batch;is batching;are batching
scant;scants;scant;is scanting;are scanting
dry;dries;dry;is drying;are drying
disentomb;disentombs;disentomb;is disentombing;are disentombing
demulsify;demulsifies;demulsify;is demulsifying;are demulsifying
belong;belongs;belong;is belonging;are belonging
unhorse;unhorses;unhorse;is unhorsing;are unhorsing
coalesce;coalesces;coalesce;is coalescing;are coalescing
moor;moors;moor;is mooring;are mooring
disfeature;disfeatures;disfeature;is disfeaturing;are disfeaturing
suit;suits;suit;is suiting;are suiting
poniard;poniards;poniard;is poniarding;are poniarding
prickle;prickles;prickle;is prickling;are prickling
venge;venges;venge;is venging;are venging
superstruct;superstructs;superstruct;is superstructing;are superstructing
outmatch;outmatches;outmatch;is outmatching;are outmatching
filtrate;filtrates;filtrate;is filtrating;are filtrating
yabber;yabbers;yabber;is yabbering;are yabbering
illude;illudes;illude;is illuding;are illuding
sket;skets;sket;is sketting;are sketting
rebuild;rebuilds;rebuild;is rebuilding;are rebuilding
bankroll;bankrolls;bankroll;is bankrolling;are bankrolling
counterpoise;counterpoises;counterpoise;is counterpoising;are counterpoising
novelize;novelizes;novelize;is novelizing;are novelizing
bag;bags;bag;is bagging;are bagging
beckon;beckons;beckon;is beckoning;are beckoning
drift;drifts;drift;is drifting;are drifting
smock;smocks;smock;is smocking;are smocking
alphabetize;alphabetizes;alphabetize;is alphabetizing;are alphabetizing
precipitate;precipitates;precipitate;is precipitating;are precipitating
roughdry;roughdries;roughdry;is roughdrying;are roughdrying
chew;chews;chew;is chewing;are chewing
wage;wages;wage;is waging;are waging
venerate;venerates;venerate;is venerating;are venerating
compute;computes;compute;is computing;are computing
unfix;unfixes;unfix;is unfixing;are unfixing
pout;pouts;pout;is pouting;are pouting
fingerprint;fingerprints;fingerprint;is fingerprinting;are fingerprinting
research;researches;research;is researching;are researching
tussle;tussles;tussle;is tussling;are tussling
husband;husbands;husband;is husbanding;are husbanding
overbear;overbears;overbear;is overbearing;are overbearing
phantasy;phantasies;phantasy;is phantasying;are phantasying
elide;elides;elide;is eliding;are eliding
espouse;espouses;espouse;is espousing;are espousing
space;spaces;space;is spacing;are spacing
broider;broiders;broider;is broidering;are broidering
pi;pies;pi;is piing;are piing
convalesce;convalesces;convalesce;is convalescing;are convalescing
unquote;unquotes;unquote;is unquoting;are unquoting
Americanize;Americanizes;Americanize;is Americanizing;are Americanizing
wis;wises;wis;is wising;are wising
modge;modges;modge;is modging;are modging
centralize;centralizes;centralize;is centralizing;are centralizing
hansel;hansels;hansel;is hanseling;are hanseling
subvene;subvenes;subvene;is subvening;are subvening
free-wheel;free-wheels;free-wheel;is freewheeling;are freewheeling
diffuse;diffuses;diffuse;is diffusing;are diffusing
encarnalize;encarnalizes;encarnalize;is encarnalizing;are encarnalizing
mercerize;mercerizes;mercerize;is mercerizing;are mercerizing
vent;vents;vent;is venting;are venting
cry;cries;cry;is crying;are crying
strengthen;strengthens;strengthen;is strengthening;are strengthening
detect;detects;detect;is detecting;are detecting
valet;valets;valet;is valeting;are valeting
notch;notches;notch;is notching;are notching
upstart;upstarts;upstart;is upstarting;are upstarting
digitize;digitizes;digitize;is digitizing;are digitizing
sufflate;sufflates;sufflate;is sufflating;are sufflating
muckamuck;muckamucks;muckamuck;is muckamucking;are muckamucking
resettle;resettles;resettle;is resettling;are resettling
ruggedize;ruggedizes;ruggedize;is ruggedizing;are ruggedizing
whang;whangs;whang;is whanging;are whanging
pavilion;pavilions;pavilion;is pavilioning;are pavilioning
submerse;submerses;submerse;is submersing;are submersing
delay;delays;delay;is delaying;are delaying
tailor;tailors;tailor;is tailoring;are tailoring
opiate;opiates;opiate;is opiating;are opiating
herald;heralds;herald;is heralding;are heralding
strip;strips;strip;is stripping;are stripping
pilgrimage;pilgrimages;pilgrimage;is pilgrimaging;are pilgrimaging
disenchant;disenchants;disenchant;is disenchanting;are disenchanting
deglutinate;deglutinates;deglutinate;is deglutinating;are deglutinating
epilate;epilates;epilate;is epilating;are epilating
tonsure;tonsures;tonsure;is tonsuring;are tonsuring
quarrel;quarrels;quarrel;is quarrelling;are quarrelling
imprecate;imprecates;imprecate;is imprecating;are imprecating
attaint;attaints;attaint;is attainting;are attainting
haw;haws;haw;is hawing;are hawing
peel;peels;peel;is peeling;are peeling
recur;recurs;recur;is recurring;are recurring
arterialize;arterializes;arterialize;is arterializing;are arterializing
fumble;fumbles;fumble;is fumbling;are fumbling
glamourize;glamourizes;glamourize;is glamourizing;are glamourizing
ventriloquize;ventriloquizes;ventriloquize;is ventriloquizing;are ventriloquizing
phlebotomize;phlebotomizes;phlebotomize;is phlebotomizing;are phlebotomizing
cub;cubs;cub;is cubbing;are cubbing
fondle;fondles;fondle;is fondling;are fondling
hogtie;hogties;hogtie;is hogtying;are hogtying
swink;swinks;swink;is swinking;are swinking
interest;interests;interest;is interesting;are interesting
bill;bills;bill;is billing;are billing
overbalance;overbalances;overbalance;is overbalancing;are overbalancing
tong;tongs;tong;is tonging;are tonging
induct;inducts;induct;is inducting;are inducting
televise;televises;televise;is televising;are televising
burp;burps;burp;is burping;are burping
obsecrate;obsecrates;obsecrate;is obsecrating;are obsecrating
tot;tots;tot;is totting;are totting
truss;trusses;truss;is trussing;are trussing
zing;zings;zing;is zinging;are zinging
decapitate;decapitates;decapitate;is decapitating;are decapitating
digress;digresses;digress;is digressing;are digressing
hank;hanks;hank;is hanking;are hanking
equip;equips;equip;is equipping;are equipping
upend;upends;upend;is upending;are upending
ochre;ochres;ochre;is ochring;are ochring
arise;arises;arise;is arising;are arising
nix;nixes;nix;is nixing;are nixing
skewer;skews;skewer;is skewing;are skewing
translate;translates;translate;is translating;are translating
beard;beards;beard;is bearding;are bearding
altercate;altercates;altercate;is altercating;are altercating
ban;bans;ban;is banning;are banning
umpire;umpires;umpire;is umpiring;are umpiring
internationalize;internationalizes;internationalize;is internationalizing;are internationalizing
hyphenate;hyphenates;hyphenate;is hyphening;are hyphening
soft-solder;soft-solders;soft-solder;is soft-soldering;are soft-soldering
mosey;moseys;mosey;is moseying;are moseying
intercalate;intercalates;intercalate;is intercalating;are intercalating
tolerate;tolerates;tolerate;is tolerating;are tolerating
osculate;osculates;osculate;is osculating;are osculating
shend;shends;shend;is shending;are shending
adhibit;adhibits;adhibit;is adhibiting;are adhibiting
shag;shags;shag;is shagging;are shagging
persevere;perseveres;persevere;is persevering;are persevering
hollow;hollows;hollow;is hollowing;are hollowing
plain;plains;plain;is plaining;are plaining
shrive;shrives;shrive;is shriving;are shriving
adjoin;adjoins;adjoin;is adjoining;are adjoining
transvalue;transvalues;transvalue;is transvaluing;are transvaluing
frig;frigs;frig;is frigging;are frigging
puff;puffs;puff;is puffing;are puffing
permeate;permeates;permeate;is permeating;are permeating
blurt;blurts;blurt;is blurting;are blurting
consult;consults;consult;is consulting;are consulting
spade;spades;spade;is spading;are spading
eddy;eddies;eddy;is eddying;are eddying
tantalize;tantalizes;tantalize;is tantalizing;are tantalizing
garb;garbs;garb;is garbing;are garbing
cup;cups;cup;is cupping;are cupping
tarmac;tarmacs;tarmac;is tarmacking;are tarmacking
disproportionate;disproportionates;disproportionate;is disproportionating;are disproportionating
grumble;grumbles;grumble;is grumbling;are grumbling
interrogate;interrogates;interrogate;is interrogating;are interrogating
falsify;falsifies;falsify;is falsifying;are falsifying
overdraw;overdraws;overdraw;is overdrawing;are overdrawing
imbrue;imbrues;imbrue;is imbruing;are imbruing
yap;yaps;yap;is yapping;are yapping
dye;dyes;dye;is dyeing;are dyeing
foreshow;foreshows;foreshow;is foreshowing;are foreshowing
jest;jests;jest;is jesting;are jesting
jinx;jinxes;jinx;is jinxing;are jinxing
site;sites;site;is siting;are siting
caterwaul;caterwauls;caterwaul;is caterwauling;are caterwauling
decode;decodes;decode;is decoding;are decoding
enamel;enamels;enamel;is enamelling;are enamelling
crump;crumps;crump;is crumping;are crumping
lark;larks;lark;is larking;are larking
carbonate;carbonates;carbonate;is carbonating;are carbonating
uppercut;uppercuts;uppercut;is uppercutting;are uppercutting
clatter;clatters;clatter;is clattering;are clattering
wow;wows;wow;is wowing;are wowing
dislocate;dislocates;dislocate;is dislocating;are dislocating
lyse;lyses;lyse;is lysing;are lysing
purchase;purchases;purchase;is purchasing;are purchasing
cross-fade;cross-fades;cross-fade;is cross-fading;are cross-fading
award;awards;award;is awarding;are awarding
calk;calks;calk;is calking;are calking
bode;bodes;bode;is boding;are boding
skylark;skylarks;skylark;is skylarking;are skylarking
giggle;giggles;giggle;is giggling;are giggling
rehouse;rehouses;rehouse;is rehousing;are rehousing
misdeal;misdeals;misdeal;is misdealing;are misdealing
uglify;uglifies;uglify;is uglifying;are uglifying
throwaway;throwaways;throwaway;is throwawaying;are throwawaying
mellow;mellows;mellow;is mellowing;are mellowing
sharp;sharps;sharp;is sharping;are sharping
standardize;standardizes;standardize;is standardizing;are standardizing
ballot;ballots;ballot;is balloting;are balloting
fatigue;fatigues;fatigue;is fatiguing;are fatiguing
sputter;sputters;sputter;is sputtering;are sputtering
smelt;smelts;smelt;is smelting;are smelting
revalue;revalues;revalue;is revaluing;are revaluing
shortcircuit;shortcircuits;shortcircuit;is shortcircuiting;are shortcircuiting
tinplate;tinplates;tinplate;is tinplating;are tinplating
rank;ranks;rank;is ranking;are ranking
forgive;forgives;forgive;is forgiving;are forgiving
churr;churrs;churr;is churring;are churring
adopt;adopts;adopt;is adopting;are adopting
kernel;kernels;kernel;is kernelling;are kernelling
tittup;tittups;tittup;is tittupping;are tittupping
grey;greys;grey;is greying;are greying
hallucinate;hallucinates;hallucinate;is hallucinating;are hallucinating
regulate;regulates;regulate;is regulating;are regulating
disenfranchise;disenfranchises;disenfranchise;is disenfranchising;are disenfranchising
suffix;suffixes;suffix;is suffixing;are suffixing
demonstrate;demonstrates;demonstrate;is demonstrating;are demonstrating
rebound;rebounds;rebound;is rebounding;are rebounding
animate;animates;animate;is animating;are animating
redd;redds;redd;is redding;are redding
accredit;accredits;accredit;is accrediting;are accrediting
helm;helms;helm;is helming;are helming
intromit;intromits;intromit;is intromitting;are intromitting
lope;lopes;lope;is loping;are loping
fund;funds;fund;is funding;are funding
overcharge;overcharges;overcharge;is overcharging;are overcharging
undertake;undertakes;undertake;is undertaking;are undertaking
tucker;tuckers;tucker;is tuckering;are tuckering
overburden;overburdens;overburden;is overburdening;are overburdening
pustulate;pustulates;pustulate;is pustulating;are pustulating
cornice;cornices;cornice;is cornicing;are cornicing
incumber;incumbers;incumber;is incumbering;are incumbering
overtrump;overtrumps;overtrump;is overtrumping;are overtrumping
generalize;generalizes;generalize;is generalizing;are generalizing
misconstrue;misconstrues;misconstrue;is misconstruing;are misconstruing
exonerate;exonerates;exonerate;is exonerating;are exonerating
stream;streams;stream;is streaming;are streaming
mothball;mothballs;mothball;is mothballing;are mothballing
enucleate;enucleates;enucleate;is enucleating;are enucleating
pink;pinks;pink;is pinking;are pinking
scythe;scythes;scythe;is scything;are scything
ostracize;ostracizes;ostracize;is ostracizing;are ostracizing
gusset;gussets;gusset;is gusseting;are gusseting
adduce;adduces;adduce;is adducing;are adducing
belie;belies;belie;is belying;are belying
triumph;triumphs;triumph;is triumphing;are triumphing
dispose;disposes;dispose;is disposing;are disposing
serve;serves;serve;is serving;are serving
enwomb;enwombs;enwomb;is enwombing;are enwombing
tweeze;tweezes;tweeze;is tweezing;are tweezing
debouch;debouches;debouch;is debouching;are debouching
reify;reifies;reify;is reifying;are reifying
incline;inclines;incline;is inclining;are inclining
friend;friends;friend;is friending;are friending
keck;kecks;keck;is kecking;are kecking
chunder;chunders;chunder;is chundering;are chundering
conjoin;conjoins;conjoin;is conjoining;are conjoining
dishonour;dishonours;dishonour;is dishonouring;are dishonouring
retrospect;retrospects;retrospect;is retrospecting;are retrospecting
screech;screeches;screech;is screeching;are screeching
feint;feints;feint;is feinting;are feinting
cut;cuts;cut;is cutting;are cutting
ionize;ionizes;ionize;is ionizing;are ionizing
quaver;quavers;quaver;is quavering;are quavering
recount;recounts;recount;is recounting;are recounting
comport;comports;comport;is comporting;are comporting
camp;camps;camp;is camping;are camping
fart;farts;fart;is farting;are farting
scram;scrams;scram;is scramming;are scramming
mistranslate;mistranslates;mistranslate;is mistranslating;are mistranslating
shunt;shunts;shunt;is shunting;are shunting
reclassify;reclassifies;reclassify;is reclassifying;are reclassifying
rigidify;rigidifies;rigidify;is rigidifying;are rigidifying
tabu;tabus;tabu;is tabuing;are tabuing
pot;pots;pot;is potting;are potting
swerve;swerves;swerve;is swerving;are swerving
pandy;pandies;pandy;is pandying;are pandying
seize;seizes;seize;is seizing;are seizing
eternize;eternizes;eternize;is eternizing;are eternizing
wattle;wattles;wattle;is wattling;are wattling
disremember;disremembers;disremember;is disremembering;are disremembering
joggle;joggles;joggle;is joggling;are joggling
goad;goads;goad;is goading;are goading
visit;visits;visit;is visiting;are visiting
soap;soaps;soap;is soaping;are soaping
quiver;quivers;quiver;is quivering;are quivering
verbalize;verbalizes;verbalize;is verbalizing;are verbalizing
displant;displants;displant;is displanting;are displanting
view;views;view;is viewing;are viewing
canter;cants;canter;is canting;are canting
derate;derates;derate;is derating;are derating
fresh;freshes;fresh;is freshing;are freshing
cake;cakes;cake;is caking;are caking
semaphore;semaphores;semaphore;is semaphoring;are semaphoring
scrump;scrumps;scrump;is scrumping;are scrumping
immerge;immerges;immerge;is immerging;are immerging
scour;scours;scour;is scouring;are scouring
ply;plies;ply;is plying;are plying
chuckle;chuckles;chuckle;is chuckling;are chuckling
repent;repents;repent;is repenting;are repenting
misfit;misfits;misfit;is misfitting;are misfitting
best;bests;best;is besting;are besting
cave;caves;cave;is caving;are caving
josh;joshes;josh;is joshing;are joshing
avenge;avenges;avenge;is avenging;are avenging
vitriol;vitriols;vitriol;is vitrioling;are vitrioling
unthink;unthinks;unthink;is unthinking;are unthinking
globe-trot;globe-trots;globe-trot;is globe-trotting;are globe-trotting
salvage;salvages;salvage;is salvaging;are salvaging
reticulate;reticulates;reticulate;is reticulating;are reticulating
unship;unships;unship;is unshipping;are unshipping
yowl;yowls;yowl;is yowling;are yowling
subjugate;subjugates;subjugate;is subjugating;are subjugating
shroff;shroffs;shroff;is shroffing;are shroffing
hobble;hobbles;hobble;is hobbling;are hobbling
stage;stages;stage;is staging;are staging
gad;gads;gad;is gadding;are gadding
fizzle;fizzles;fizzle;is fizzling;are fizzling
sanctify;sanctifies;sanctify;is sanctifying;are sanctifying
proportion;proportions;proportion;is proportioning;are proportioning
scabble;scabbles;scabble;is scabbling;are scabbling
impregnate;impregnates;impregnate;is impregnating;are impregnating
elaborate;elaborates;elaborate;is elaborating;are elaborating
detoxicate;detoxicates;detoxicate;is detoxicating;are detoxicating
intertwine;intertwines;intertwine;is intertwining;are intertwining
stang;stangs;stang;is stanging;are stanging
gnaw;gnaws;gnaw;is gnawing;are gnawing
overreact;overreacts;overreact;is overreacting;are overreacting
pyramid;pyramids;pyramid;is pyramiding;are pyramiding
mission;missions;mission;is missioning;are missioning
unlead;unleads;unlead;is unleading;are unleading
anneal;anneals;anneal;is annealing;are annealing
fair;fairs;fair;is fairing;are fairing
inlet;inlets;inlet;is inletting;are inletting
inactivate;inactivates;inactivate;is inactivating;are inactivating
district;districts;district;is districting;are districting
garment;garments;garment;is garmenting;are garmenting
calliper;callipers;calliper;is callipering;are callipering
auspicate;auspicates;auspicate;is auspicating;are auspicating
scorn;scorns;scorn;is scorning;are scorning
corrival;corrivals;corrival;is corrivaling;are corrivaling
ebonize;ebonizes;ebonize;is ebonizing;are ebonizing
spay;spays;spay;is spaying;are spaying
project;projects;project;is projecting;are projecting
tuft;tufts;tuft;is tufting;are tufting
devolve;devolves;devolve;is devolving;are devolving
devil;devils;devil;is deviling;are deviling
dillydally;dillydallies;dillydally;is dillydallying;are dillydallying
dialogue;dialogues;dialogue;is dialoguing;are dialoguing
expound;expounds;expound;is expounding;are expounding
reverence;reverences;reverence;is reverencing;are reverencing
prey;preys;prey;is preying;are preying
carnify;carnifies;carnify;is carnifying;are carnifying
aliment;aliments;aliment;is alimenting;are alimenting
hang;hangs;hang;is hanging;are hanging
postpone;postpones;postpone;is postponing;are postponing
cater;caters;cater;is catering;are catering
grin;grins;grin;is grinning;are grinning
disenthrall;disenthrals;disenthrall;is disenthralling;are disenthralling
estivate;estivates;estivate;is estivating;are estivating
retroject;retrojects;retroject;is retrojecting;are retrojecting
weary;wearies;weary;is wearying;are wearying
uncoil;uncoils;uncoil;is uncoiling;are uncoiling
spite;spites;spite;is spiting;are spiting
believe;believes;believe;is believing;are believing
unwrap;unwraps;unwrap;is unwrapping;are unwrapping
splatter;splatters;splatter;is splattering;are splattering
gawk;gawks;gawk;is gawking;are gawking
rime;rimes;rime;is riming;are riming
desolate;desolates;desolate;is desolating;are desolating
employ;employs;employ;is employing;are employing
crenellate;crenellates;crenellate;is crenellating;are crenellating
overstaff;overstaffs;overstaff;is overstaffing;are overstaffing
fracture;fractures;fracture;is fracturing;are fracturing
demilitarize;demilitarizes;demilitarize;is demilitarizing;are demilitarizing
unify;unifies;unify;is unifying;are unifying
invaginate;invaginates;invaginate;is invaginating;are invaginating
flunk;flunks;flunk;is flunking;are flunking
depopulate;depopulates;depopulate;is depopulating;are depopulating
win;wins;win;is winning;are winning
fortify;fortifies;fortify;is fortifying;are fortifying
invade;invades;invade;is invading;are invading
atrophy;atrophies;atrophy;is atrophying;are atrophying
wanton;wantons;wanton;is wantoning;are wantoning
blossom;blossoms;blossom;is blossoming;are blossoming
insulate;insulates;insulate;is insulating;are insulating
sunbathe;sunbathes;sunbathe;is sunbathing;are sunbathing
truant;truants;truant;is truanting;are truanting
pervert;perverts;pervert;is perverting;are perverting
vinegar;vinegars;vinegar;is vinegaring;are vinegaring
torment;torments;torment;is tormenting;are tormenting
dab;dabs;dab;is dabbing;are dabbing
ledger;ledgers;ledger;is ledgering;are ledgering
padlock;padlocks;padlock;is padlocking;are padlocking
resonate;resonates;resonate;is resonating;are resonating
fidge;fidges;fidge;is fidging;are fidging
sponge;sponges;sponge;is sponging;are sponging
bate;bates;bate;is bating;are bating
parlay;parlays;parlay;is parlaying;are parlaying
congratulate;congratulates;congratulate;is congratulating;are congratulating
middle;middles;middle;is middling;are middling
scorify;scorifies;scorify;is scorifying;are scorifying
remainder;remainders;remainder;is remaindering;are remaindering
miniaturize;miniaturizes;miniaturize;is miniaturizing;are miniaturizing
mime;mimes;mime;is miming;are miming
chorus;choruses;chorus;is chorusing;are chorusing
stereotype;stereotypes;stereotype;is stereotyping;are stereotyping
shower;showers;shower;is showering;are showering
field;fields;field;is fielding;are fielding
rock-and-roll;rock-and-rolls;rock-and-roll;is rock-and-rolling;are rock-and-rolling
disturb;disturbs;disturb;is disturbing;are disturbing
divulgate;divulgates;divulgate;is divulgating;are divulgating
appliqu_e;appliqu_es;appliqu_e;is appliqu_eing;are appliqu_eing
titivate;titivates;titivate;is titivating;are titivating
chapter;chapters;chapter;is chaptering;are chaptering
format;formats;format;is formatting;are formatting
emit;emits;emit;is emitting;are emitting
overstuff;overstuffs;overstuff;is overstuffing;are overstuffing
deemphasize;deemphasizes;deemphasize;is deemphasizing;are deemphasizing
edulcorate;edulcorates;edulcorate;is edulcorating;are edulcorating
dissatisfy;dissatisfies;dissatisfy;is dissatisfying;are dissatisfying
te-hee;te-hees;te-hee;is te-heeing;are te-heeing
idealize;idealizes;idealize;is idealizing;are idealizing
bedizen;bedizens;bedizen;is bedizening;are bedizening
forage;forages;forage;is foraging;are foraging
telescope;telescopes;telescope;is telescoping;are telescoping
finish;finishes;finish;is finishing;are finishing
void;voids;void;is voiding;are voiding
outrival;outrivals;outrival;is outrivalling;are outrivalling
frequent;frequents;frequent;is frequenting;are frequenting
dazzle;dazzles;dazzle;is dazzling;are dazzling
tallow;tallows;tallow;is tallowing;are tallowing
afforest;afforests;afforest;is afforesting;are afforesting
disport;disports;disport;is disporting;are disporting
pad;pads;pad;is padding;are padding
rouge;rouges;rouge;is rouging;are rouging
liquidate;liquidates;liquidate;is liquidating;are liquidating
torpedo;torpedos;torpedo;is torpedoing;are torpedoing
decentralize;decentralizes;decentralize;is decentralizing;are decentralizing
present;presents;present;is presenting;are presenting
overprint;overprints;overprint;is overprinting;are overprinting
snuff;snuffs;snuff;is snuffing;are snuffing
order;orders;order;is ordering;are ordering
concede;concedes;concede;is conceding;are conceding
dive;dives;dive;is diving;are diving
predigest;predigests;predigest;is predigesting;are predigesting
buoy;buoys;buoy;is buoying;are buoying
weather;weathers;weather;is weathering;are weathering
bleep;bleeps;bleep;is bleeping;are bleeping
deoxygenize;deoxygenizes;deoxygenize;is deoxygenizing;are deoxygenizing
gulp;gulps;gulp;is gulping;are gulping
